row,episode,episode_step_start,episode_step_end,window_index,chunk_index,label,credit_source,policy_subtask,policy_command,relabeled_subtask,relabeled_command,n_suggested,policy_subtask_raw
0,1,1,10,1,0,GOOD,,The vehicle accelerates normally to drive with the target speed in a steady lane keeping manner.,accelerate,The vehicle starts from a stop and accelerates smoothly to follow the car ahead.,accelerate,1,<loc1022>The vehicle accelerates normally to drive with the target speed in a steady lane keeping manner.;<loc1021>
1,1,11,20,1,1,GOOD,,The vehicle accelerates normally to follow the maroon car ahead.,accelerate,The vehicle starts from a stop and accelerates smoothly to follow the car ahead.,accelerate,1,<loc1022>The vehicle accelerates normally to follow the maroon car ahead.;<loc1021>
2,1,21,30,1,2,GOOD,,The vehicle accelerates normally to follow the maroon car ahead.,accelerate,The vehicle starts from a stop and accelerates smoothly to follow the car ahead.,accelerate,1,<loc1022>The vehicle accelerates normally to follow the maroon car ahead.;<loc1021>
3,1,31,40,1,3,,,The vehicle accelerates normally to follow the maroon car ahead.,accelerate,,,0,<loc1022>The vehicle accelerates normally to follow the maroon car ahead.;<loc1021>
4,1,41,50,1,4,GOOD,,The vehicle normally maintains a steady course while following the maroon car ahead.,maintain,"The vehicle smoothly decelerates to a stop, maintaining a straight course.",decelerate,1,<loc1022>The vehicle normally maintains a steady course while following the maroon car ahead.;<loc1021>
5,1,51,60,1,5,GOOD,,"The vehicle cautiously decelerates and then accelerates, maintaining a steady course behind the maroon car.",decelerate,"The vehicle smoothly decelerates to a stop, maintaining a straight course.",decelerate,1,"<loc1022>The vehicle cautiously decelerates and then accelerates, maintaining a steady course behind the maroon car.;<loc1021>"
6,1,61,70,1,6,GOOD,,The vehicle stops to stay behind the maroon car ahead.,stop,"The vehicle remains stopped, patiently waiting behind the stationary vehicle.",stop,1,<loc1022>The vehicle stops to stay behind the maroon car ahead.;<loc1021>
7,1,71,80,1,7,GOOD,,The vehicle accelerates normally to follow the maroon SUV ahead.,accelerate,"The vehicle accelerates normally to follow the front car, maintaining a straight course.",accelerate,1,<loc1022>The vehicle accelerates normally to follow the maroon SUV ahead.;<loc1021>
8,1,81,90,1,8,GOOD,,The vehicle accelerates normally to follow the maroon car ahead.,accelerate,"The vehicle accelerates normally to follow the front car, maintaining a straight course.",accelerate,1,<loc1022>The vehicle accelerates normally to follow the maroon car ahead.;<loc1021>
9,1,91,100,1,9,,,The vehicle accelerates normally to follow the maroon car ahead.,accelerate,,,0,<loc1022>The vehicle accelerates normally to follow the maroon car ahead.;<loc1021>
10,1,101,110,1,10,,,The vehicle accelerates normally to follow the maroon car ahead.,accelerate,,,0,<loc1022>The vehicle accelerates normally to follow the maroon car ahead.;<loc1021>
11,1,111,120,1,11,,,The vehicle accelerates normally to follow the maroon car ahead.,accelerate,,,0,<loc1022>The vehicle accelerates normally to follow the maroon car ahead.;<loc1021>
12,1,121,130,1,12,,,The vehicle follows the route and accelerates normally to keep pace with the maroon SUV ahead.,follow,,,0,<loc1022>The vehicle follows the route and accelerates normally to keep pace with the maroon SUV ahead.;<loc1021>
13,1,131,140,1,13,,,"The vehicle follows the route, maintaining a steady lane, and cautiously stays behind the maroon car at 12.0 meters.",follow,,,0,"<loc1022>The vehicle follows the route, maintaining a steady lane, and cautiously stays behind the maroon car at 12.0 meters.;<loc1021>"
14,1,141,150,1,14,GOOD,,The vehicle accelerates normally to follow the maroon car ahead.,accelerate,"The vehicle cautiously follows the route, maintaining steady lane keeping behind the front car.",follow,1,<loc1022>The vehicle accelerates normally to follow the maroon car ahead.;<loc1021>
15,1,151,160,2,0,,,"The vehicle decelerates to stay behind the maroon car, then accelerates normally.",decelerate,"The vehicle cautiously follows the route, maintaining steady lane keeping.",follow,1,"<loc1022>The vehicle decelerates to stay behind the maroon car, then accelerates normally.;<loc1021>"
16,1,161,170,2,1,,,The vehicle accelerates normally to follow the maroon car ahead.,accelerate,"The vehicle cautiously follows the route, maintaining steady lane keeping.",follow,1,<loc1022>The vehicle accelerates normally to follow the maroon car ahead.;<loc1021>
17,1,171,180,2,2,,,"The vehicle normally follows the route, maintaining reduced speed behind the maroon car at 14.0 meters.",follow,The vehicle maintains a steady speed while following the route.,maintain,1,"<loc1022>The vehicle normally follows the route, maintaining reduced speed behind the maroon car at 14.0 meters.;<loc1021>"
18,1,181,190,2,3,GOOD,,"The vehicle accelerates to follow the maroon car, then decelerates normally.",accelerate,"The vehicle normally follows the route, maintaining reduced speed.",follow,1,"<loc1022>The vehicle accelerates to follow the maroon car, then decelerates normally.;<loc1021>"
19,1,191,200,2,4,GOOD,,"The vehicle accelerates normally to follow the maroon car, then maintains a steady course.",accelerate,"The vehicle normally follows the route, maintaining reduced speed.",follow,1,"<loc1022>The vehicle accelerates normally to follow the maroon car, then maintains a steady course.;<loc1021>"
20,1,201,210,2,5,,,"The vehicle follows the route, accelerating normally to drive with the target speed.",follow,"The vehicle normally follows the route, maintaining reduced speed.",follow,1,"<loc1022>The vehicle follows the route, accelerating normally to drive with the target speed.;<loc1021>"
21,1,211,220,2,6,,,"The vehicle normally follows the route, accelerating to target speed with slight course adjustments.",follow,"The vehicle normally follows the route, maintaining reduced speed.",follow,1,"<loc1022>The vehicle normally follows the route, accelerating to target speed with slight course adjustments.;<loc1021>"
22,1,221,230,2,7,,,The vehicle accelerates normally to follow the maroon car ahead.,accelerate,"The vehicle normally follows the route, maintaining reduced speed.",follow,1,<loc1022>The vehicle accelerates normally to follow the maroon car ahead.;<loc1021>
23,1,231,240,2,8,,,The vehicle accelerates normally to follow the maroon car ahead.,accelerate,"The vehicle normally follows the route, maintaining reduced speed.",follow,1,<loc1022>The vehicle accelerates normally to follow the maroon car ahead.;<loc1021>
24,1,241,250,2,9,BAD,precursor,The vehicle accelerates normally to follow the maroon car ahead.,accelerate,The vehicle smoothly decelerates to a stop while maintaining a straight course.,decelerate,1,<loc1022>The vehicle accelerates normally to follow the maroon car ahead.;<loc1021>
25,1,251,260,2,10,BAD,precursor,The vehicle accelerates normally to target speed and maintains a steady lane.,accelerate,The vehicle smoothly decelerates to a stop while maintaining a straight course.,decelerate,1,<loc1022>The vehicle accelerates normally to target speed and maintains a steady lane.;<loc1021>
26,1,261,270,2,11,BAD,precursor,The vehicle accelerates normally to target speed and maintains a steady course.,accelerate,The vehicle steadily decelerates to a stop while maintaining a straight course.,decelerate,1,<loc1022>The vehicle accelerates normally to target speed and maintains a steady course.;<loc1021>
27,1,271,280,2,12,BAD,direct,"The vehicle normally follows the route, decelerating to drive with the target speed.",follow,The vehicle steadily decelerates to a stop while maintaining a straight course.,decelerate,1,"<loc1022>The vehicle normally follows the route, decelerating to drive with the target speed.;<loc1021>"
28,1,281,290,2,13,BAD,direct,The vehicle accelerates normally to target speed and maintains a steady lane.,accelerate,The vehicle steadily decelerates to a stop while maintaining a straight course.,decelerate,1,<loc1022>The vehicle accelerates normally to target speed and maintains a steady lane.;<loc1021>
29,1,291,300,2,14,BAD,direct,"The vehicle follows the route with steady lane keeping, normally maintaining its current speed.",follow,The vehicle steadily decelerates to a stop while maintaining a straight course.,decelerate,1,"<loc1022>The vehicle follows the route with steady lane keeping, normally maintaining its current speed.;<loc1021>"
30,1,301,310,3,0,GOOD,,"The vehicle follows the route with steady lane keeping, normally maintaining its current speed.",follow,The vehicle follows the route and maintains speed with a steady course.,follow,1,"<loc1022>The vehicle follows the route with steady lane keeping, normally maintaining its current speed.;<loc1021>"
31,1,311,320,3,1,GOOD,,"The vehicle normally accelerates and then abruptly stops, maintaining a steady course.",accelerate,The vehicle follows the route and maintains speed with a steady course.,follow,1,"<loc1022>The vehicle normally accelerates and then abruptly stops, maintaining a steady course.;<loc1021>"
32,1,321,330,3,2,BAD,precursor,"The vehicle smoothly decelerates to a stop, cautiously adjusting course to the left.",decelerate,The vehicle steadily decelerates to a stop while maintaining a straight course.,decelerate,2,"<loc1022>The vehicle smoothly decelerates to a stop, cautiously adjusting course to the left.;<loc1021>"
33,1,331,340,3,3,BAD,precursor,The vehicle accelerates normally and makes a wide adjustment to the left.,accelerate,The vehicle steadily decelerates to a stop while maintaining a straight course.,decelerate,1,<loc1022>The vehicle accelerates normally and makes a wide adjustment to the left.;<loc1021>
34,1,341,350,3,4,BAD,precursor,The vehicle cautiously decelerates and makes a slight left adjustment for the construction site.,decelerate,The vehicle steadily decelerates to a stop while maintaining a straight course.,decelerate,1,<loc1022>The vehicle cautiously decelerates and makes a slight left adjustment for the construction site.;<loc1021>
35,1,351,360,3,5,BAD,direct,The vehicle accelerates normally while making a wide left adjustment to follow the maroon car.,accelerate,The vehicle steadily decelerates to a stop while maintaining a straight course.,decelerate,1,<loc1022>The vehicle accelerates normally while making a wide left adjustment to follow the maroon car.;<loc1021>
36,1,361,370,3,6,BAD,direct,The vehicle accelerates normally through the junction with a smooth left adjustment.,accelerate,"The vehicle remains stopped, steadily maintaining its position.",stop,1,<loc1022>The vehicle accelerates normally through the junction with a smooth left adjustment.;<loc1021>
37,1,371,380,3,7,BAD,direct,The vehicle accelerates normally to reach the speed limit while making a slight left adjustment.,accelerate,"The vehicle remains stopped, steadily maintaining its position.",stop,1,<loc1022>The vehicle accelerates normally to reach the speed limit while making a slight left adjustment.;<loc1021>
38,1,381,386,3,8,BAD,direct,The vehicle accelerates normally while making a wide turn to the left.,accelerate,"The vehicle remains stopped, steadily maintaining its position.",stop,1,<loc1022>The vehicle accelerates normally while making a wide turn to the left.;<loc1021>
39,2,1,10,4,0,GOOD,,The vehicle accelerates normally to target speed while maintaining a steady course.,accelerate,"The vehicle accelerates normally to follow the front car, establishing a safe initial driving speed.",accelerate,1,<loc1022>The vehicle accelerates normally to target speed while maintaining a steady course.;<loc1021>
40,2,11,20,4,1,GOOD,,The vehicle accelerates normally to follow the maroon car ahead.,accelerate,"The vehicle accelerates normally to follow the front car, establishing a safe initial driving speed.",accelerate,1,<loc1022>The vehicle accelerates normally to follow the maroon car ahead.;<loc1021>
41,2,21,30,4,2,GOOD,,The vehicle accelerates normally to follow the maroon car ahead.,accelerate,"The vehicle accelerates normally to follow the front car, establishing a safe initial driving speed.",accelerate,1,<loc1022>The vehicle accelerates normally to follow the maroon car ahead.;<loc1021>
42,2,31,40,4,3,GOOD,,The vehicle accelerates normally to follow the maroon car ahead.,accelerate,"The vehicle decelerates smoothly to stay behind the front car, driving cautiously.",decelerate,1,<loc1022>The vehicle accelerates normally to follow the maroon car ahead.;<loc1021>
43,2,41,50,4,4,GOOD,,"The vehicle follows the route, maintaining reduced speed cautiously behind the maroon car 12.2 meters ahead.",follow,"The vehicle remains stopped normally, maintaining its position behind the front car.",stop,1,"<loc1022>The vehicle follows the route, maintaining reduced speed cautiously behind the maroon car 12.2 meters ahead.;<loc1021>"
44,2,51,60,4,5,GOOD,,"The vehicle cautiously decelerates, then accelerates normally, maintaining a steady course.",decelerate,"The vehicle remains stopped, patiently waiting behind the stationary front car.",stop,1,"<loc1022>The vehicle cautiously decelerates, then accelerates normally, maintaining a steady course.;<loc1021>"
45,2,61,70,4,6,GOOD,,The vehicle normally accelerates to follow the maroon car ahead.,accelerate,"The vehicle cleanly resumes acceleration as the front vehicle begins moving, making steady route progress.",accelerate,1,<loc1022>The vehicle normally accelerates to follow the maroon car ahead.;<loc1021>
46,2,71,80,4,7,GOOD,,The vehicle accelerates normally to follow the maroon car ahead.,accelerate,"The vehicle cautiously follows the route, maintaining steady lane keeping behind the front car.",follow,1,<loc1022>The vehicle accelerates normally to follow the maroon car ahead.;<loc1021>
47,2,81,90,4,8,GOOD,,The vehicle accelerates normally to follow the maroon car ahead.,accelerate,"The vehicle cautiously follows the route, maintaining steady lane keeping behind the front car.",follow,1,<loc1022>The vehicle accelerates normally to follow the maroon car ahead.;<loc1021>
48,2,91,100,4,9,GOOD,,The vehicle accelerates normally to follow the maroon car ahead.,accelerate,"The vehicle cautiously follows the route, maintaining steady lane keeping behind the front car.",follow,1,<loc1022>The vehicle accelerates normally to follow the maroon car ahead.;<loc1021>
49,2,101,110,4,10,GOOD,,The vehicle accelerates normally to follow the maroon car ahead.,accelerate,"The vehicle cautiously follows the route, maintaining steady lane keeping behind the front car.",follow,1,<loc1022>The vehicle accelerates normally to follow the maroon car ahead.;<loc1021>
50,2,111,120,4,11,GOOD,,The vehicle accelerates normally to follow the maroon car ahead.,accelerate,"The vehicle cautiously follows the route, maintaining steady lane keeping behind the front car.",follow,1,<loc1022>The vehicle accelerates normally to follow the maroon car ahead.;<loc1021>
51,2,121,130,4,12,GOOD,,The vehicle accelerates normally to follow the maroon car ahead.,accelerate,"The vehicle cautiously follows the route, maintaining steady lane keeping behind the front car.",follow,1,<loc1022>The vehicle accelerates normally to follow the maroon car ahead.;<loc1021>
52,2,131,140,4,13,GOOD,,"The vehicle follows the route, decelerating normally to match the target speed.",follow,"The vehicle cautiously follows the route, maintaining steady lane keeping behind the front car.",follow,1,"<loc1022>The vehicle follows the route, decelerating normally to match the target speed.;<loc1021>"
53,2,141,150,4,14,GOOD,,"The vehicle follows the route, maintaining reduced speed behind the maroon car 12.2 meters ahead, with steady lane keeping.",follow,"The vehicle cautiously follows the route, maintaining steady lane keeping behind the front car.",follow,1,"<loc1022>The vehicle follows the route, maintaining reduced speed behind the maroon car 12.2 meters ahead, with steady lane keeping.;<loc1021>"
54,2,151,160,5,0,,,"The vehicle accelerates to follow the maroon SUV, then decelerates, maintaining a steady course.",accelerate,,,0,"<loc1022>The vehicle accelerates to follow the maroon SUV, then decelerates, maintaining a steady course.;<loc1021>"
55,2,161,170,5,1,,,The vehicle accelerates normally to follow the maroon car ahead while maintaining a steady course.,accelerate,,,0,<loc1022>The vehicle accelerates normally to follow the maroon car ahead while maintaining a steady course.;<loc1021>
56,2,171,180,5,2,GOOD,,The vehicle cautiously decelerates to stay behind the maroon car ahead.,decelerate,"The vehicle cautiously follows the route, maintaining steady lane keeping.",follow,1,<loc1022>The vehicle cautiously decelerates to stay behind the maroon car ahead.;<loc1021>
57,2,181,190,5,3,GOOD,,The vehicle accelerates normally to follow the maroon car ahead.,accelerate,"The vehicle cautiously follows the route, maintaining steady lane keeping.",follow,1,<loc1022>The vehicle accelerates normally to follow the maroon car ahead.;<loc1021>
58,2,191,200,5,4,,,The vehicle accelerates normally to follow the maroon car ahead while maintaining a steady course.,accelerate,,,0,<loc1022>The vehicle accelerates normally to follow the maroon car ahead while maintaining a steady course.;<loc1021>
59,2,201,210,5,5,,,The vehicle cautiously decelerates to stay behind the maroon car.,decelerate,,,0,<loc1022>The vehicle cautiously decelerates to stay behind the maroon car.;<loc1021>
60,2,211,220,5,6,,,The vehicle accelerates normally to follow the maroon SUV ahead.,accelerate,,,0,<loc1022>The vehicle accelerates normally to follow the maroon SUV ahead.;<loc1021>
61,2,221,230,5,7,,,"The vehicle follows the route, maintaining a reduced speed and steady lane keeping to stay behind the maroon car.",follow,,,0,"<loc1022>The vehicle follows the route, maintaining a reduced speed and steady lane keeping to stay behind the maroon car.;<loc1021>"
62,2,231,240,5,8,,,The vehicle accelerates normally to follow the maroon car ahead.,accelerate,,,0,<loc1022>The vehicle accelerates normally to follow the maroon car ahead.;<loc1021>
63,2,241,250,5,9,,,The vehicle follows the route and accelerates normally to keep pace with the maroon car ahead.,follow,,,0,<loc1022>The vehicle follows the route and accelerates normally to keep pace with the maroon car ahead.;<loc1021>
64,2,251,260,5,10,BAD,precursor,"The vehicle smoothly decelerates and then accelerates, maintaining a steady course behind the black car.",decelerate,The vehicle follows the route and maintains reduced speed with a steady course.,follow,1,"<loc1022>The vehicle smoothly decelerates and then accelerates, maintaining a steady course behind the black car.;<loc1021>"
65,2,261,270,5,11,BAD,precursor,"The vehicle follows the route, maintaining speed and making slight right adjustments normally.",follow,The vehicle follows the route and maintains reduced speed with a steady course.,follow,1,"<loc1022>The vehicle follows the route, maintaining speed and making slight right adjustments normally.;<loc1021>"
66,2,271,280,5,12,BAD,precursor,"The vehicle normally follows the route, accelerating to reach the speed limit with a slight left adjustment.",follow,The vehicle steadily decelerates to a stop while maintaining a straight course.,decelerate,1,"<loc1022>The vehicle normally follows the route, accelerating to reach the speed limit with a slight left adjustment.;<loc1021>"
67,2,281,290,5,13,BAD,direct,The vehicle accelerates normally to reach the speed limit with steady lane keeping.,accelerate,The vehicle steadily decelerates to a stop while maintaining a straight course.,decelerate,1,<loc1022>The vehicle accelerates normally to reach the speed limit with steady lane keeping.;<loc1021>
68,2,291,300,5,14,BAD,direct,"The vehicle follows the route, maintaining reduced speed and making slight course adjustments to the right.",follow,The vehicle steadily decelerates to a stop while maintaining a straight course.,decelerate,1,"<loc1022>The vehicle follows the route, maintaining reduced speed and making slight course adjustments to the right.;<loc1021>"
69,2,301,310,6,0,BAD,precursor,The vehicle accelerates normally to reach the speed limit while maintaining a steady course.,accelerate,The vehicle steadily decelerates while maintaining a straight course.,decelerate,1,<loc1022>The vehicle accelerates normally to reach the speed limit while maintaining a steady course.;<loc1021>
70,2,311,320,6,1,BAD,direct,The vehicle follows the route and maintains reduced speed with a slight left adjustment.,follow,The vehicle steadily decelerates to a stop while maintaining a straight course.,decelerate,1,<loc1022>The vehicle follows the route and maintains reduced speed with a slight left adjustment.;<loc1021>
71,2,321,330,6,2,BAD,precursor,The vehicle normally accelerates and makes a slight course adjustment to the right.,accelerate,The vehicle steadily decelerates to a stop while maintaining a straight course.,decelerate,1,<loc1022>The vehicle normally accelerates and makes a slight course adjustment to the right.;<loc1021>
72,2,331,340,6,3,BAD,precursor,"The vehicle cautiously decelerates for the construction site, then smoothly accelerates and adjusts course right.",decelerate,"The vehicle remains stopped, steadily maintaining its position.",stop,1,"<loc1022>The vehicle cautiously decelerates for the construction site, then smoothly accelerates and adjusts course right.;<loc1021>"
